dependencia_original,decreto,fecha_decreto,factura,fecha_factura,modelo_original,serie_original,valor_clp,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd,serie,clave_serie
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D37W0,349999,72,10,9,con_comodato_72_10_9,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D37W0,13985|HA1D37W0
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D37VH,349999,72,10,10,con_comodato_72_10_10,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D37VH,13985|HA1D37VH
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D360M,349999,72,10,11,con_comodato_72_10_11,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D360M,13985|HA1D360M
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D360J,349999,72,10,12,con_comodato_72_10_12,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D360J,13985|HA1D360J
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D35ZF,349999,72,10,13,con_comodato_72_10_13,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D35ZF,13985|HA1D35ZF
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D342Z,349999,72,10,14,con_comodato_72_10_14,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D342Z,13985|HA1D342Z
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2W1C,349999,72,10,15,con_comodato_72_10_15,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2W1C,13985|HA1D2W1C
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2W1T,349999,72,10,16,con_comodato_72_10_16,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2W1T,13985|HA1D2W1T
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2TAS,349999,72,10,17,con_comodato_72_10_17,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2TAS,13985|HA1D2TAS
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2T5G,349999,72,10,18,con_comodato_72_10_18,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2T5G,13985|HA1D2T5G
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2RDB,349999,72,10,19,con_comodato_72_10_19,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2RDB,13985|HA1D2RDB
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2M5N,349999,72,10,20,con_comodato_72_10_20,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2M5N,13985|HA1D2M5N
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2M4L,349999,72,10,21,con_comodato_72_10_21,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2M4L,13985|HA1D2M4L
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2K93,349999,72,10,22,con_comodato_72_10_22,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2K93,13985|HA1D2K93
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2K8M,349999,72,10,23,con_comodato_72_10_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2K8M,13985|HA1D2K8M
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2HAB,349999,73,11,2,con_comodato_73_11_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2HAB,13985|HA1D2HAB
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2FEN,349999,73,11,3,con_comodato_73_11_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2FEN,13985|HA1D2FEN
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2F8P,349999,73,11,4,con_comodato_73_11_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2F8P,13985|HA1D2F8P
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E8H2P,349999,73,11,5,con_comodato_73_11_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E8H2P,13985|HA1E8H2P
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E8H06,349999,73,11,6,con_comodato_73_11_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E8H06,13985|HA1E8H06
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E8F3M,349999,73,11,7,con_comodato_73_11_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E8F3M,13985|HA1E8F3M
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E8CZ6,349999,73,11,8,con_comodato_73_11_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E8CZ6,13985|HA1E8CZ6
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E896L,349999,73,11,9,con_comodato_73_11_9,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E896L,13985|HA1E896L
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E891C,349999,73,11,10,con_comodato_73_11_10,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E891C,13985|HA1E891C
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E876L,349999,73,11,11,con_comodato_73_11_11,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E876L,13985|HA1E876L
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E875Q,349999,73,11,12,con_comodato_73_11_12,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E875Q,13985|HA1E875Q
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E857Q,349999,73,11,13,con_comodato_73_11_13,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E857Q,13985|HA1E857Q
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E838A,349999,73,11,14,con_comodato_73_11_14,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E838A,13985|HA1E838A
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E836P,349999,73,11,15,con_comodato_73_11_15,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E836P,13985|HA1E836P
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E83AT,349999,73,11,16,con_comodato_73_11_16,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E83AT,13985|HA1E83AT
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E81CA,349999,73,11,17,con_comodato_73_11_17,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E81CA,13985|HA1E81CA
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E81BG,349999,73,11,18,con_comodato_73_11_18,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E81BG,13985|HA1E81BG
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E81AD,349999,73,11,19,con_comodato_73_11_19,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E81AD,13985|HA1E81AD
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E816Y,349999,73,11,20,con_comodato_73_11_20,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E816Y,13985|HA1E816Y
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E814X,349999,73,11,21,con_comodato_73_11_21,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E814X,13985|HA1E814X
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E7ZAP,349999,73,11,22,con_comodato_73_11_22,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E7ZAP,13985|HA1E7ZAP
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E7XBT,349999,73,11,23,con_comodato_73_11_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E7XBT,13985|HA1E7XBT
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D2F7T,349999,74,12,2,con_comodato_74_12_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D2F7T,13985|HA1D2F7T
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D1ENW,349999,74,12,3,con_comodato_74_12_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D1ENW,13985|HA1D1ENW
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D18M9,349999,74,12,4,con_comodato_74_12_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D18M9,13985|HA1D18M9
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1D16KY,349999,74,12,5,con_comodato_74_12_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1D16KY,13985|HA1D16KY
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EAA2C,349999,74,12,6,con_comodato_74_12_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EAA2C,13985|HA1EAA2C
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EAA1G,349999,74,12,7,con_comodato_74_12_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EAA1G,13985|HA1EAA1G
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA9Z3,349999,74,12,8,con_comodato_74_12_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA9Z3,13985|HA1EA9Z3
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA9YX,349999,74,12,9,con_comodato_74_12_9,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA9YX,13985|HA1EA9YX
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA82Y,349999,74,12,10,con_comodato_74_12_10,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA82Y,13985|HA1EA82Y
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EAB2X,349999,74,12,11,con_comodato_74_12_11,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EAB2X,13985|HA1EAB2X
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA64X,349999,74,12,12,con_comodato_74_12_12,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA64X,13985|HA1EA64X
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA64C,349999,74,12,13,con_comodato_74_12_13,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA64C,13985|HA1EA64C
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA638,349999,74,12,14,con_comodato_74_12_14,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA638,13985|HA1EA638
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA62W,349999,74,12,15,con_comodato_74_12_15,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA62W,13985|HA1EA62W
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA60R,349999,74,12,16,con_comodato_74_12_16,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA60R,13985|HA1EA60R
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA416,349999,74,12,17,con_comodato_74_12_17,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA416,13985|HA1EA416
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA3XV,349999,74,12,18,con_comodato_74_12_18,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA3XV,13985|HA1EA3XV
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA3XQ,349999,74,12,19,con_comodato_74_12_19,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA3XQ,13985|HA1EA3XQ
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA22G,349999,74,12,20,con_comodato_74_12_20,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA22G,13985|HA1EA22G
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA20W,349999,74,12,21,con_comodato_74_12_21,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA20W,13985|HA1EA20W
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA1ZX,349999,74,12,22,con_comodato_74_12_22,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA1ZX,13985|HA1EA1ZX
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA02S,349999,74,12,23,con_comodato_74_12_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA02S,13985|HA1EA02S
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1EA007,349999,75,13,2,con_comodato_75_13_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EA007,13985|HA1EA007
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9ZZX,349999,75,13,3,con_comodato_75_13_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9ZZX,13985|HA1E9ZZX
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9Y2S,349999,75,13,4,con_comodato_75_13_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9Y2S,13985|HA1E9Y2S
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9Y2K,349999,75,13,5,con_comodato_75_13_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9Y2K,13985|HA1E9Y2K
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9WAQ,349999,75,13,6,con_comodato_75_13_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9WAQ,13985|HA1E9WAQ
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9W35,349999,75,13,7,con_comodato_75_13_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9W35,13985|HA1E9W35
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9T3W,349999,75,13,8,con_comodato_75_13_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9T3W,13985|HA1E9T3W
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9R4T,349999,75,13,9,con_comodato_75_13_9,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9R4T,13985|HA1E9R4T
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9P77,349999,75,13,10,con_comodato_75_13_10,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9P77,13985|HA1E9P77
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9P74,349999,75,13,11,con_comodato_75_13_11,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9P74,13985|HA1E9P74
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9P5G,349999,75,13,12,con_comodato_75_13_12,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9P5G,13985|HA1E9P5G
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9M9Z,349999,75,13,13,con_comodato_75_13_13,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9M9Z,13985|HA1E9M9Z
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9M9B,349999,75,13,14,con_comodato_75_13_14,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9M9B,13985|HA1E9M9B
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9M5Y,349999,75,13,15,con_comodato_75_13_15,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9M5Y,13985|HA1E9M5Y
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9KBW,349999,75,13,16,con_comodato_75_13_16,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9KBW,13985|HA1E9KBW
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9K93,349999,75,13,17,con_comodato_75_13_17,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9K93,13985|HA1E9K93
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9HBP,349999,75,13,18,con_comodato_75_13_18,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9HBP,13985|HA1E9HBP
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y Lápiz,HA1E9HA7,349999,75,13,19,con_comodato_75_13_19,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9HA7,13985|HA1E9HA7
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E9F3L,349999,75,13,20,con_comodato_75_13_20,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9F3L,13985|HA1E9F3L
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E9FEJ,349999,75,13,21,con_comodato_75_13_21,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9FEJ,13985|HA1E9FEJ
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E9FCT,349999,75,13,22,con_comodato_75_13_22,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9FCT,13985|HA1E9FCT
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E9DCZ,349999,75,13,23,con_comodato_75_13_23,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E9DCZ,13985|HA1E9DCZ
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1EPDBB,349999,76,14,2,con_comodato_76_14_2,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1EPDBB,13985|HA1EPDBB
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E99FJ,349999,76,14,3,con_comodato_76_14_3,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E99FJ,13985|HA1E99FJ
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E99EA,349999,76,14,4,con_comodato_76_14_4,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E99EA,13985|HA1E99EA
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E97LK,349999,76,14,5,con_comodato_76_14_5,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E97LK,13985|HA1E97LK
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E95KL,349999,76,14,6,con_comodato_76_14_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E95KL,13985|HA1E95KL
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E93H3,349999,76,14,7,con_comodato_76_14_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E93H3,13985|HA1E93H3
Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Lenovo Tab P11 11” 6gb Ram 128 Gb Wifi Lte Teclado Y lápiz,HA1E93GH,349999,76,14,8,con_comodato_76_14_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927,HA1E93GH,13985|HA1E93GH
